Type,Where,Company,Latest financing time,Round,Latest valuation (100 million$),Key words,Founding time,nouse,Fouding year,Size（person）
medical health,Shanghai,平安医保科技,2018/2/3,A,88,Technology-driven management medical platform,2016-9,2016,3,50-100
medical health,Shanghai,联影医疗,2018/4/28,B,61.54,Medical equipment and medical information solutions provider,2011-3,2011,8,300-500
medical health,Zhejiang,微医,2018/5/9,F-,55,a comprehensive medical service,2010-3,2010,9,300-500
medical health,Shanghai,复宏汉霖,2018/7/19,B,30,"Monoclonal antibody biosimilars, bio-modified drugs, and innovative monoclonal antibodies using cutting-edge technologies",2010-2,2010,9,150-300
medical health,Shandong,杰华生物,2018/4/20,Strategy,27.3,Protein drug developer,2008-3,2008,11,1000-2000
medical health,Shanghai,药明明码,2018/11/28,C,20,Medical health service platform,2015-6,2015,4,100-150
medical health,Beijing,好大夫在线,2017/3/29,D,15.38,Online consultation comprehensive service platform,2006-10,2006,13,-
medical health,Sichuan,医联,2018/7/31,D,12.31,Mobile social apps for doctors,2014-6,2014,5,100-150
medical health,Beijing,春雨医生,2017/10/16,Strategy,11.08,Dr. Chun Yu defines China Mobile Medical,2011-7,2011,8,150-300
medical health,Shanghai,天境生物,2018/6/29,C,11,Technology companies focused on innovative biomedical,2016-8,2016,3,50-100
medical health,Guangdong,妙手医生,2019/6/27,C+,10.77,"Creating a new health management model of ""Internet + medical + medicine"" based on Internet technology",2015-3,2015,4,100-150
medical health,Beijing,诺禾致源,2016/11/17,B,10.77,a genomics solution provider,2011-3,2011,8,2000
medical health,Beijing,零氪科技,2018/7/4,D,10.77,Workforce and Medical Big Data Solution Provider,2014-12,2014,5,100-150
medical health,Hubei,安翰光电,2017/8/15,B,10,Committed to the development of capsule endoscope machine system and commercial application,2009-12,2009,10,150-300
medical health,Guangdong,碳云智能,2016/7/3,Strategy,10,"Life big data, internet and industrial intelligence engine to explore life",2015-10,2015,4,500-1000
medical health,Zhejiang,丁香园,2018/4/10,D,10,Medical field connector and professional service provider in the digital field,2005-11,2005,14,300-500
medical health,Guangdong,七乐康,2019/4/10,Strategy,10,Pharmaceutical e-commerce and online pharmacies,2010-1,2010,9,1000-2000
medical health,Zhejiang,禾连健康,2018/6/21,B,10,Medical information service provider,2014-12,2014,5,50-100
medical health,Beijing,企鹅杏仁,2019/4/24,Strategy,10,A large health service provider that integrates online and offline,2018-8,2018,1,100-150
medical health,Hongkong,香港亚洲医疗,2018/9/18,Strategy,10,Cardiovascular Chain Specialist Hospital Group,2010-1,2010,9,500-1000
hardware,Guangdong,大疆无人机,2015/5/6,C,220,Focus on aircraft and flight imaging systems,2006-11,2006,13,300-500
hardware,Guangdong,优必选,2019/3/6,Strategy,55,Smart machine developer,2012-3,2012,7,150-300
hardware,Guangdong,柔宇科技,2018/8/9,Strategy,50,Flexible display and sensor developer,2012-3,2012,7,300-500
hardware,Beijing,寒武纪,2018/6/20,B,25,Depth learning dedicated smart chip,2016-3,2016,3,50-100
hardware,Guangdong,奥比中光,2018/5/21,D,20,3D Somatosensory Technology Developer,2013-1,2013,6,100-150
hardware,Guangdong,酷开,2018/3/16,Strategy,14,An internet smart TV brand,2006-10,2006,13,100-150
hardware,Jiangsu,好享家,2018/10/18,C+,10,Home Comfort Intelligent System Solution Provider,2009-11,2009,10,150-300
hardware,Beijing,Ninebot纳恩博,2017/10/20,C,10,Balance car and short-distance travel tool developer,2013-6,2013,6,150-300
hardware,Shanghai,微鲸科技,2015/8/14,A,10,Internet technology company focused on home entertainment,2015-4,2015,4,300-500
game,Beijing,乐元素,2016/9/18,C+,24.62,Game development and operation provider,2012-2,2012,7,300-500
game,Guangdong,西山居,2017/4/21,Strategy,15,Jinshan Software's game development studio,1995-5,1995,24,150-300
car traffic,Beijing,滴滴出行,2018/7/17,Strategy,560,The world's leading mobile travel platform,2012-7,2012,7,2000
car traffic,Beijing,车好多集团,2019/2/28,D,90,A used car direct selling platform,2012-9,2012,7,300-500
car traffic,Shanghai,威马汽车,2019/3/8,C,60,New energy smart car brand for Chinese users,2012-5,2012,7,150-300
car traffic,Beijing,奇点汽车,2019/6/3,Strategy,38.46,Smart new energy vehicle developer,2014-12,2014,5,150-300
car traffic,Guangdong,小鹏汽车,2018/8/2,B+,38.46,Electric vehicle manufacturer,2015-1,2015,4,50-100
car traffic,Jiangsu,Byton拜腾汽车,2019/5/7,C,35,New energy electric vehicle developer,2016-3,2016,3,50-100
car traffic,Zhejiang,大搜车,2018/9/3,F-,35,China's leading new retail and new financial platform for automobiles,2012-11,2012,7,1000-2000
car traffic,Shanghai,游侠汽车,2018/8/22,B+,33.5,Intelligent electric vehicle integrated manufacturing enterprise,2014-3,2014,5,150-300
car traffic,Beijing,首汽租车,2016/12/27,B,30.77,Integrated car rental service provider,1992-5,1992,27,-
car traffic,Beijing,地平线,2019/2/27,B,30,Smart core technology and system level solution provider,2015-6,2015,4,100-150
car traffic,Beijing,ofo小黄车,2018/3/13,Strategy,30,The world's leading non-pile shared bicycle platform,2014-12,2014,5,150-300
car traffic,Shanghai,哈啰出行,2018/9/3,Strategy,25,Mainly sharing bicycles in second- and third-tier cities,2016-3,2016,3,1000-2000
car traffic,Beijing,理想汽车,2019/4/26,B+,23.08,Smart new energy vehicle developer,2016-8,2016,3,50-100
car traffic,Guangdong,银隆新能源,2016/12/15,Strategy,20.62,Lithium battery and electric vehicle research and development company,2009-12,2009,10,150-300
car traffic,Zhejiang,时空电动,2018/8/13,Strategy,18.46,Electric vehicles and new energy companies,2013-9,2013,6,500-1000
car traffic,Beijing,电咖汽车,2018/7/24,Pre-A,18.46,New energy vehicle developer,2015-6,2015,4,300-500
car traffic,Shanghai,爱驰汽车,2019/5/29,Strategy,18.46,"Smart electric vehicle manufacturer, online and offline mode combination",2016-10,2016,3,30-50
car traffic,Shanghai,途虎养车,2018/9/15,E,18,"Main car after-service, car-raising B2C e-commerce platform",2011-1,2011,8,150-300
car traffic,Beijing,小马智行Pony.ai,2019/4/11,Strategy,16.67,Autopilot solution provider,2016-12,2016,3,30-50
car traffic,Guizhou,新特汽车,2019/5/16,B,16,Electric travel products and service providers,2017-9,2017,2,300-500
car traffic,Zhejiang,曹操出行,2018/1/17,A,15.38,Net car service platform,2015-5,2015,4,300-500
car traffic,Zhejiang,天际汽车,2019/4/13,A,15.38,"R&D and sales of new energy vehicles, repair and maintenance of new energy vehicles, etc.",2015-6,2015,4,150-300
car traffic,Beijing,ETCP停车,2018/1/12,Strategy,15.38,a smart parking service provider,2012-1,2012,7,300-500
